1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Target,Target_Volume
178.5,1.65,3000.0,72.03,3.2004608663647565,2015.0,0.002072829131652661,0.25,0.37,0.15,1.44,22.2,0.0965,8.7815,0.459,-5.0,0.277,25.207000000000004,3.1372549019607843,0.9809999999999999,0.11496199857111553,2.8704663212435233,5.46,55.0,0.5355929127093569,2.535662696606911,0.8000518208335685,1.4268797621539635,0.2472879669688651,0.06144314665051413,518.3,44.88,0.33695573383041044,0.48763791321847
178.5,1.65,3000.0,72.03,3.2004608663647565,2015.0,0.001512605042016807,0.15,0.27,0.1,1.485,17.0,0.0916,8.1066,0.44,-14.0,0.2792,24.709199999999996,3.375,1.0450000000000002,0.050007934666947244,3.048034934497817,5.31,61.0,0.6355640462824131,1.9351549142403863,0.5346705944638185,1.0974153780778129,0.2604082617120879,0.04266067998666696,518.3,44.88,0.3668273422829772,0.5282353064081106
255.0,1.65,2100.0,97.2234,2.522494343306435,2016.0,0.0016470588235294116,0.165,0.42,0.25,1.17,19.0,0.118,19.391333333333332,0.37,-4.0,0.3369,55.363899999999994,3.162162162162162,0.7999999999999999,0.11649055354657369,2.8550847457627118,9.86,154.0,0.6861860943222099,3.094205109983011,0.5833936844510981,2.0272802409786017,0.3738126338392551,0.10971855071405638,518.3,44.88,0.4582724638899691,0.5718007729463623
255.0,1.65,2400.0,19.27,7.31464276851,2012.0,0.0021568627450980395,0.45,0.55,0.25,0.33,136.8,0.553761,7.844947499999999,0.033,71.3,4.609815,65.3057125,10.0,0.29700000000000004,0.12131747279817837,8.32455698396962,0.85,20.0,0.36493997833257075,0.5398010184173149,0.11974330078847241,0.31351444131240597,0.07898935459370647,0.027553921722730034,461.5,44.88,0.4240052185257665,0.5570464302023692
255.0,1.65,2250.0,49.0,4.242891389051926,2012.0,0.0017647058823529412,0.35,0.45,0.16,0.305,134.1,0.596246,14.210529666666668,0.071,90.3,2.300402,54.82624766666667,4.295774647887324,0.23399999999999999,0.09972388267644305,3.8581424445614725,1.43,24.0,0.6586531704309598,0.48812596628372734,0.06123197222302157,0.33152610311624375,0.0789458272820804,0.016422063662381668,461.5,44.88,0.4144004144004144,0.49681469766468234
255.0,1.65,2250.0,49.0,4.242891389051926,2012.0,0.0017647058823529412,0.35,0.45,0.16,0.394,143.1,0.468837,14.377668,0.0737,84.6,2.208187,67.71773466666667,5.345997286295794,0.32030000000000003,0.09915941441148882,4.709924771295781,1.84,43.0,0.6646269718152172,0.6170863718600005,0.0590555741921633,0.4337786608184008,0.10327390677857316,0.020978230070863222,461.5,44.88,0.41767957602175776,0.4910392978889205
255.0,1.65,3000.0,82.2471,2.885902941312278,2016.0,0.0035294117647058825,0.775,0.9,0.33,2.073,214.0,0.096476,24.119,0.7,165.0,0.263406,65.8515,2.9614285714285717,1.373,0.057000873807139564,2.7302748870185325,15.0,418.0,0.509237528759059,7.361437068614115,1.449833838964413,5.214037932378087,0.4918916936078891,0.20567360366372575,461.5,44.88,0.538317572892041,0.5740418463223217
321.3,1.05,3000.0,78.46,2.995013302850754,2020.0,0.0028011204481792717,1.05,0.9,0.62,2.2,214.0,0.090652,42.30426666666667,0.916,171.0,0.208274,97.19453333333333,2.4017467248908297,1.2840000000000003,0.30359020295392863,2.2975113621321097,28.0,374.0,0.6643755769602088,9.397483845114156,2.555403515341444,5.705811422929384,0.5906872465926897,0.5455816602506386,461.5,57.47,0.3243532261389404,0.40143814242300013
321.3,1.65,1480.0,123.2181,2.0700419390496854,2012.0,0.0028011204481792717,0.92,0.9,0.3,2.148,276.5,0.114824,34.447199999999995,1.09,213.9,0.211814,63.5442,1.9706422018348624,1.058,0.12216612504103158,1.8446840381801715,18.0,315.0,0.49259928335615566,9.133212899589198,0.8216670790057614,7.416645142267527,0.693968667946888,0.20093201036902086,461.5,44.88,0.46017847557702635,0.5529725792125509
321.3,1.65,2970.0,139.1812,1.8646546628486826,2014.0,0.002240896358543417,1.055,0.72,0.42,0.85,181.8,0.2328,62.080000000000005,0.47,151.0,0.398451,106.2536,1.8085106382978724,0.38,0.08944790077367944,1.7115592783505154,16.0,160.0,0.7460912418139907,4.06254013097615,1.219647545623673,2.463716560690562,0.2658987256847033,0.11327729897721141,461.5,44.88,0.39590053763440863,0.6835673032049371
321.3,1.65,3000.0,45.63,4.455236016127954,2015.0,0.002334267040149393,0.95,0.75,0.39,0.5,151.8,0.374676,32.471920000000004,0.1,100.0,1.657509,143.65078,5.0,0.4,0.007095593193616199,4.423846203119495,5.2,140.0,0.6700129294669626,1.7159327667717945,0.6457744621434661,0.8463783858420567,0.15779755049027386,0.065982368295998,461.5,44.88,0.4449224021592443,0.5524812227830596
321.3,1.65,3000.0,45.63,4.455236016127954,2015.0,0.0010893246187363833,0.6,0.35,0.25,0.6,158.8,0.315474,29.444239999999994,0.1,100.0,1.644147,153.45372,5.999999999999999,0.5,0.14514266245539478,5.211671960288329,5.6,190.0,0.8240067012606678,0.9855624729402602,0.2650258077687691,0.47890458134360747,0.19129887660868725,0.050333207219196374,461.5,44.88,0.4810804345378814,0.6092915309654348
321.3,1.65,2037.0,101.0,2.4448582593424146,2015.0,0.0023965141612200436,1.03,0.77,0.37,2.38,290.0,0.101933,56.06315,1.05,234.6,0.212714,116.9927,2.2666666666666666,1.3299999999999998,0.17158126380750854,2.08680211511483,33.0,727.0,0.7552890206659427,8.075462318023892,1.2364540081722606,5.842453337626544,0.7302154412267321,0.26633953099835495,461.5,44.88,0.46756954465287803,0.3959449415564708
321.3,1.65,2037.0,89.9,2.6880154829691816,2015.0,0.002738873327108621,0.975,0.88,0.35,2.5,290.0,0.096654,51.5488,1.01,230.5,0.194945,103.97066666666667,2.4752475247524752,1.49,0.3327217855851819,2.0169367020506135,32.0,727.0,0.7331437067480029,8.539401384063908,0.9695096546426911,6.539893505185604,0.7653524263437665,0.2646457978918471,461.5,44.88,0.44105130822746524,0.3916658035389873
321.3,1.65,3000.0,45.13,4.488565379695227,2021.0,0.0028011204481792717,0.985,0.9,0.32,0.5,143.6,0.37467,28.100250000000003,0.095,98.2,1.746918,131.01885000000001,5.2631578947368425,0.405,0.03731555184020622,4.662551044919529,4.5,120.0,0.5650050724405555,1.9574771740175,0.7197485274572797,1.0234752980388655,0.1595716702885968,0.05468167823275818,461.5,44.88,0.4404660414890594,0.6336923541509095
321.3,1.05,3000.0,46.2,4.417839234830245,2021.0,0.0026455026455026454,1.015,0.85,0.32,2.0,213.0,0.099826,20.297953333333332,0.66,162.0,0.273773,55.667176666666656,3.0303030303030303,1.3399999999999999,0.6108791570248493,2.742501953398914,12.2,350.0,0.4667874600421083,6.505192987486279,2.020324258435889,3.7133108451232726,0.5152969923973743,0.25626089152974235,461.5,57.47,0.5615086141469339,0.5672041550569802
321.3,1.65,1500.0,81.0,2.920944633494472,2021.0,0.003112356053532524,0.85,1.0,0.55,1.217,189.0,0.161013,22.00511,0.624,161.0,0.289489,39.56349666666666,1.950320512820513,0.5930000000000001,0.6246215167859415,1.797923149062498,8.2,120.0,0.3668701899545322,5.1916644423728355,1.0684828564937605,3.5107490563038315,0.38448246010956066,0.2279500694656831,461.5,44.88,0.48920259976238734,0.6217550791939597
408.0,1.05,2250.0,69.627,3.284665538931499,2021.0,0.0029411764705882353,1.38,1.2,0.57,1.15,190.5,0.170898,46.348339795008904,0.413,145.3,0.44496,120.67524064171123,2.784503631961259,0.7369999999999999,0.26155782828190227,2.603658322508163,16.272281639928696,268.0,0.5601817467827283,7.15684648673292,2.2525548140603533,4.187427585071687,0.44450058088487443,0.2723635067160054,461.5,57.47,0.3625875803418652,0.5130808443803738
408.0,1.05,1617.0,69.627,3.284665538931499,2021.0,0.0029411764705882353,1.38,1.2,0.57,2.1,214.3,0.09489,37.32340000000001,0.774,167.4,0.242731,95.47419333333335,2.7131782945736433,1.326,0.28406306977357626,2.5580250816735166,23.6,409.0,0.4601388710430045,12.740722643385094,3.587312336177622,7.8139334072056155,0.8450249308797486,0.49445196912210754,461.5,57.47,0.36333663441349007,0.4578954052494052
408.0,1.35,3000.0,104.1532,2.383606507881395,2012.0,0.0024509803921568627,0.995,1.0,0.42,1.907,214.6,0.104118,72.88260000000001,0.871,174.8,0.212613,148.8291,2.1894374282433984,1.036,0.16726795815681597,2.042038840546303,42.0,1159.0,0.8105831465132505,7.955507846443483,1.1896770323134485,5.8393245243313014,0.6707501178169815,0.2557561719817524,461.5,50.37,0.7173290008434937,0.7707897371637226
408.0,1.35,3000.0,84.1396,2.8343037674510443,2014.0,0.002818627450980392,1.64,1.15,0.48,2.265,235.8,0.092948,48.7977,0.827,172.7,0.223885,117.539625,2.738814993954051,1.4380000000000002,0.17668832917363675,2.408712398330249,31.5,1249.4,0.6085521442237947,12.330607456950467,4.1696953000402806,7.029370473246871,0.7918600896428596,0.33968159402045517,461.5,50.37,0.8080830898667711,0.9681632565708422
408.0,1.35,2400.0,93.3448,2.607532465952145,2017.0,0.002573529411764706,1.215,1.05,0.42,2.12,214.3,0.094011,46.128064,1.09,177.1,0.173828,85.29160533333335,1.9449541284403669,1.03,0.4102258247038858,1.8490176681452173,29.44,741.2,0.6699768533234627,9.715881438157256,2.4360441158859603,6.253494398316705,0.735107989119823,0.2912349348347679,461.5,50.37,0.7759265120635704,0.8906137136896428
408.0,1.65,1800.0,156.256,1.6857484020509939,2010.0,0.002818627450980392,1.05,1.15,0.4,1.03,174.5,0.188888,62.96266666666666,0.62,159.0,0.300426,100.14200000000001,1.6612903225806452,0.41000000000000003,0.059887107529335314,1.590498072932108,20.0,167.0,0.6265365980233244,7.469268039533512,1.285122100079979,5.618957562207373,0.4357265384274549,0.12946183881870515,461.5,44.88,0.3721021303258145,0.9251665009286044
408.0,1.65,3000.0,123.5,2.066023215214195,2012.0,0.0024509803921568627,1.35,1.0,0.35,1.235,220.4,0.173392,86.69600000000001,0.647,202.7,0.307969,153.9845,1.9088098918083463,0.5880000000000001,0.16320765184943828,1.7761430746516564,30.0,482.0,0.7858239264213308,6.425282207360075,1.762198895635326,4.092215736054363,0.4445543339244207,0.12631324174596525,461.5,44.88,0.5330219600131105,0.9137139622599372
408.0,1.65,3000.0,41.96,4.712054220037225,2012.0,0.006372549019607843,1.45,2.6,0.45,0.74,190.0,0.258697,37.511064999999995,0.1,106.0,1.607419,233.075755,7.3999999999999995,0.64,0.2416449658981447,6.213520064013111,8.7,480.0,0.3577292609777495,5.587755429493579,1.282579600459829,3.9284477997396876,0.27619849893848303,0.10052953035557922,461.5,44.88,0.657510227936879,0.9259229425042301
408.0,1.65,3000.0,138.64,1.8709482277442913,2016.0,0.0026960784313725494,1.395,1.1,0.45,0.633,298.3,0.410107,101.15972666666669,0.328,247.27,0.72373,178.52006666666668,1.9298780487804879,0.305,0.06018676141037132,1.7647345692709464,14.8,354.0,0.779976243373611,3.256351598070557,0.48827432140492655,2.4688198712945266,0.22204033791404687,0.07721706745705705,461.5,44.88,0.6276873464373464,0.8647191992895481
408.0,1.65,3000.0,112.836,2.2297786944645748,2021.0,0.0026960784313725494,1.45,1.1,0.66,1.262,250.1,0.182524,87.91572666666666,0.503,182.2,0.405476,195.30427333333333,2.5089463220675943,0.759,0.0037292624679439675,2.2214941596721527,28.9,820.0,0.7582817448525068,6.9856575737625555,1.6930020017993186,4.580343625628152,0.4760915979268764,0.23622034840820863,461.5,44.88,0.583774020151901,0.8348648708422467
510.0,1.05,3000.0,62.397,3.5670334766091782,2021.0,0.0029411764705882353,1.54,1.5,0.55,1.3,194.1,0.151127,88.66117333333335,0.8,156.9,0.348229,204.29434666666668,1.625,0.5,0.5480476014907295,2.3042143362866994,35.2,608.0,0.8320074226471285,5.913338722821077,1.5991396362385126,3.7278289757905263,0.3805361387037908,0.20583397208824705,461.5,57.47,0.42450365726227796,0.6431899549371066
510.0,1.65,2250.0,54.41,3.9413267819723714,2012.0,0.002352941176470588,1.0,1.2,0.4,0.729,160.7,0.262395,65.59875,0.104,101.0,1.556215,389.05375,7.009615384615385,0.625,0.33544886731226703,5.930810419405858,15.0,718.0,0.8024973676133642,2.962539485799537,0.5418659317635388,1.9866570797998524,0.34359689314078046,0.09041958109536519,461.5,44.88,0.5685245506092413,0.9272520732042165
510.0,1.65,3000.0,173.385,1.5377399835461822,2012.0,0.002745098039215686,1.15,1.4,0.47,0.97,239.0,0.234357,132.02111,0.59,210.0,0.372907,210.0709433333333,1.6440677966101696,0.38,0.03359247929394547,1.5911920702176592,33.8,271.0,0.8267230067651647,5.856762371337431,0.2424966441020477,5.124912504731142,0.3721651082639653,0.11718811424027514,461.5,44.88,0.37811978455469586,1.5745203252394002
510.0,1.65,2250.0,65.4,3.4440598577603274,2013.0,0.002647058823529412,1.47,1.35,0.4,0.53,155.0,0.354654,88.6635,0.14,97.0,1.191514,297.8785,3.7857142857142856,0.39,0.02512400592366633,3.359651942456591,15.0,540.0,0.7990952783216275,3.0135708251755875,0.9860747345460112,1.7164945737719068,0.2448180909087391,0.06618342594893005,461.5,44.88,0.62402496099844,0.7850914709766408
510.0,1.65,2250.0,65.4012,3.444012412220734,2013.0,0.0027058823529411765,1.58,1.38,0.45,0.79,172.0,0.243143,76.18480666666666,0.1,95.0,1.604495,502.7417666666667,7.9,0.6900000000000001,0.47809902184513764,6.598976733856208,18.8,1010.0,0.7471359738844072,4.753843690973144,1.4891885236667808,2.771389183810438,0.3844729736704802,0.10879300982544567,461.5,44.88,0.5944262593198764,0.9136981457624535
510.0,1.65,3000.0,50.0,4.183721141040213,2014.0,0.002745098039215686,1.205,1.4,0.42,0.54,156.0,0.348457,81.30663333333335,0.11,102.0,1.467316,342.37373333333335,4.909090909090909,0.43000000000000005,0.006453335448226987,4.210895461993876,14.0,640.0,0.8327950818645834,2.3408688538958327,0.6301345870162932,1.4243833889370463,0.21872315079438426,0.06762772714810883,461.5,44.88,0.6771227009322248,0.9396926927414732
510.0,1.65,3000.0,31.6,5.627831502724808,2021.0,0.0016666666666666666,1.015,0.85,0.32,0.66,162.0,0.273773,55.667176666666656,0.03,69.0,4.558369,926.8683633333334,22.000000000000004,0.63,0.6619957019724645,16.65017733669865,12.2,850.0,0.8618484111821808,1.6854493835773947,0.442527540437847,0.9138001425146691,0.26659136459224886,0.06253033603262974,461.5,44.88,0.5888901479858646,1.020315011911542
510.0,1.65,3000.0,65.259,3.4496438242751437,2020.0,0.002647058823529412,1.205,1.35,0.6,0.46,148.7,0.405283,108.14301383333334,0.149,111.2,1.141585,304.6129308333334,3.0872483221476514,0.31100000000000005,0.22468497574311413,2.816760140445072,16.01,350.0,0.86602536504408,2.144933905644279,0.5956804660259583,1.2819372850713968,0.18429238991908908,0.08302376462783508,461.5,44.88,0.4866033652514579,0.8568441435421932
637.5,1.65,3000.0,64.1778,3.493071492694241,2013.0,0.002196078431372549,1.6,1.4,0.53,0.303,125.6,0.599937,129.98635000000002,0.034,74.7,4.490305,972.8994166666668,8.911764705882351,0.269,0.5333005592910716,7.484627552559685,13.0,560.0,0.8948324776406416,1.3671777906716593,0.49490222247480026,0.7113012995418636,0.12353073662666086,0.03744353202833455,461.5,44.88,0.5091273609792129,1.374989474078013
637.5,1.65,2700.0,98.2915,2.5000416673611228,2017.0,0.002196078431372549,1.495,1.4,0.6,0.598,162.0,0.31647,200.431,0.165,115.0,1.029589,652.0730333333335,3.624242424242424,0.43299999999999994,0.23154949550764972,3.253354188390685,38.0,1003.0,0.9250946270705867,2.846404171317706,0.6862329970645111,1.822869195767347,0.25487090208214574,0.08243107640370179,461.5,44.88,0.4619100667002971,1.1213339368394057
637.5,1.65,3000.0,59.64,3.687927569102543,2016.0,0.002196078431372549,1.48,1.4,0.58,0.334,243.7,0.705612,176.403,0.015,71.88,10.576938,2644.2345,22.26666666666667,0.319,0.7539698211439281,14.989736569105968,15.0,1194.0,0.9366998049917488,0.9495029251237682,0.07982138124984126,0.7044608026165203,0.12566845183039366,0.039552289427012985,461.5,44.88,0.5790584055074395,0.9596574680851722
637.5,1.65,3000.0,34.519,5.335657308516598,2021.0,0.0032941176470588237,1.59,2.1,0.6,0.617,169.3,0.307256,122.15640457657656,0.031,70.8,4.753031,1889.6723832927928,19.903225806451612,0.586,0.655080574482772,15.469286197828522,23.854324324324324,1610.0,0.8963551322029853,2.4723782909817045,0.6330944217678305,1.5368515644220289,0.22058714972513516,0.08184515506671008,461.5,44.88,0.5500036209323458,0.9578564472325697
637.5,1.65,3000.0,37.533,5.064188590383106,2021.0,0.003450980392156863,1.46,2.2,0.7,0.324,133.4,0.56338,131.45533333333333,0.005,34.3,27.178468,6341.642533333333,64.8,0.319,0.8950248936750212,48.24180482090241,14.0,895.0,0.8936359434640722,1.4890967915029887,0.3926134739237571,0.9209411960987687,0.12318220620600465,0.05235991527445819,461.5,44.88,0.42214399160498034,0.9378135768104776
816.0,1.35,3000.0,69.818,3.2778108593873774,2021.0,0.00196078431372549,2.225,1.6,0.65,0.132,107.6,1.284144,397.228544,0.011,47.7,12.690963,3925.7378879999997,12.000000000000002,0.12100000000000001,0.6683324072241685,9.882819216536463,18.56,752.0,0.9687237801153253,0.5804866410595633,0.2537986869548813,0.2622512659639224,0.04449339463333437,0.019943293507425287,461.5,50.37,0.4987845870980113,0.822735036006671
