1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Target,Target_Volume
178.5,1.65,3000.0,72.03,3.2004608663647565,2015.0,0.002072829131652661,0.25,0.37,0.15,1.457,23.0,0.0956,8.572133333333333,0.557,-5.0,0.2324,20.83853333333333,2.615798922800718,0.9,0.3165407006216469,2.430962343096234,5.38,44.0,0.5369086407628978,2.49143151269561,0.8040175184418121,1.384719535401098,0.24061919728115422,0.062075261571545595,518.3,44.88,0.32890294855908236,0.4995480317923181
178.5,1.65,3000.0,72.03,3.2004608663647565,2015.0,0.002072829131652661,0.25,0.37,0.15,1.44,22.2,0.0965,8.7815,0.459,-5.0,0.277,25.207000000000004,3.1372549019607843,0.9809999999999999,0.11496199857111553,2.8704663212435233,5.46,55.0,0.5355929127093569,2.535662696606911,0.8000518208335685,1.4268797621539635,0.2472879669688651,0.06144314665051413,518.3,44.88,0.33695573383041044,0.4876379132184695
178.5,1.65,3000.0,72.03,3.2004608663647565,2015.0,0.001512605042016807,0.15,0.27,0.1,1.41,18.0,0.097,8.131833333333335,0.44,-11.0,0.2819,23.632616666666664,3.204545454545454,0.97,0.10125826192756789,2.906185567010309,5.03,55.0,0.6386794594374142,1.8174423190298066,0.5014901080389765,1.0307716233999455,0.24475176796837245,0.04042881962251206,518.3,44.88,0.3655908413553389,0.526596175720275
178.5,1.65,3000.0,72.03,3.2004608663647565,2015.0,0.001512605042016807,0.15,0.27,0.1,1.485,17.0,0.0916,8.1066,0.44,-14.0,0.2792,24.709199999999996,3.375,1.0450000000000002,0.050007934666947244,3.048034934497817,5.31,61.0,0.6355640462824131,1.9351549142403863,0.5346705944638185,1.0974153780778129,0.2604082617120879,0.04266067998666696,518.3,44.88,0.3668273422829772,0.5282353064081106
178.5,1.65,3000.0,72.03,3.2004608663647565,2015.0,0.001512605042016807,0.15,0.27,0.1,1.5,23.5,0.0929,8.190683333333332,0.44,-8.6,0.2859,25.20685,3.409090909090909,1.06,0.03995388067606113,3.077502691065662,5.29,61.0,0.6409507300800975,1.899370637876284,0.49782809107040743,1.0984011759387449,0.26057639025262114,0.04256498061451073,518.3,44.88,0.3566907697906561,0.5228125860391775
255.0,1.65,2100.0,97.2234,2.522494343306435,2016.0,0.0016470588235294116,0.165,0.42,0.25,1.17,19.0,0.118,19.391333333333332,0.37,-4.0,0.3369,55.363899999999994,3.162162162162162,0.7999999999999999,0.11649055354657369,2.8550847457627118,9.86,154.0,0.6861860943222099,3.094205109983011,0.5833936844510981,2.0272802409786017,0.3738126338392551,0.10971855071405638,518.3,44.88,0.4582724638899691,0.5718007729463623
255.0,1.65,2400.0,19.27,7.31464276851,2012.0,0.0021568627450980395,0.45,0.55,0.25,0.33,136.8,0.553761,7.844947499999999,0.033,71.3,4.609815,65.3057125,10.0,0.29700000000000004,0.12131747279817837,8.32455698396962,0.85,20.0,0.36493997833257075,0.5398010184173149,0.11974330078847241,0.31351444131240597,0.07898935459370647,0.027553921722730034,461.5,44.88,0.4240052185257665,0.5570464302023692
255.0,1.65,2250.0,49.0,4.242891389051926,2012.0,0.0017647058823529412,0.35,0.45,0.16,0.305,134.1,0.596246,14.210529666666668,0.071,90.3,2.300402,54.82624766666667,4.295774647887324,0.23399999999999999,0.09972388267644305,3.8581424445614725,1.43,24.0,0.6586531704309598,0.48812596628372734,0.06123197222302157,0.33152610311624375,0.0789458272820804,0.016422063662381668,461.5,44.88,0.4144004144004144,0.49681469766468234
255.0,1.65,2250.0,49.0,4.242891389051926,2012.0,0.0017647058823529412,0.35,0.45,0.16,0.394,143.1,0.468837,14.377668,0.0737,84.6,2.208187,67.71773466666667,5.345997286295794,0.32030000000000003,0.09915941441148882,4.709924771295781,1.84,43.0,0.6646269718152172,0.6170863718600005,0.0590555741921633,0.4337786608184008,0.10327390677857316,0.020978230070863222,461.5,44.88,0.41767957602175776,0.4910392978889205
255.0,1.65,3000.0,82.2471,2.885902941312278,2016.0,0.0035294117647058825,0.775,0.9,0.33,2.073,214.0,0.096476,24.119,0.7,165.0,0.263406,65.8515,2.9614285714285717,1.373,0.057000873807139564,2.7302748870185325,15.0,418.0,0.509237528759059,7.361437068614115,1.449833838964413,5.214037932378087,0.4918916936078891,0.20567360366372575,461.5,44.88,0.538317572892041,0.5740418463223217
